title,price,year,brand,model,driveWheelConfiguration,vehicleTransmission,fuelType,mileageFromOdometer
VOLKSWAGEN ROUTAN 2011 COMFORTLINE,8700.00,2011,Volkswagen,Routan,Roues motrices avant,Automatique,Essence,160 000
2001 Volkswagen GLI Berline,1150.00,2001,Volkswagen,GLI,Roues motrices avant,Manuelle,Essence,252 000
Acura TL 2009,7999.99,2009,Acura,TL,Roues motrices avant,Automatique,Essence,199 000
2007 Subaru Impresa AWD special edition,3000.00,2007,Subaru,Impreza,4 roues motrices (4x4),Manuelle,Essence,295 000
2004 Pontiac Grand Prix Berline,800.00,2004,Pontiac,Grand Prix,Roues motrices avant,Automatique,Essence,212 183
BMW M4 F82 2018 LEASE TRANSFER/TRANSFERT DE BAIL,975.00,2018,BMW,4-Series,Roues motrices arrière,Automatique,Essence,1 800
2004 Mazda Mazda6 Berline,1699.00,2004,Mazda,Mazda6,Roues motrices avant,Manuelle,Essence,200 000
2011 Jeep Grand Cherokee Laredo,14900.00,2011,Jeep,Grand Cherokee,4 x 4,Automatique,Essence,163 000
Bmw 323i,2250.00,2000,BMW,3-Series,Roues motrices arrière,Automatique,Essence,236 000
BMW Sportline 2013 xdrive,23000.00,2013,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,76 000
TOYOTA COROLLA 2011 BAS MILLAGE,8290.00,2011,Toyota,Corolla,Roues motrices avant,Automatique,Essence,108 500
Toyota Sienna LE 2004,4200.00,2004,Toyota,Sienna,Autre,Automatique,Essence,222 500
2011 Honda Fit LX Autre,6900.00,2011,Honda,Fit,Autre,Manuelle,Essence,99 500
Civic dx 2004,1000.00,2004,Honda,Civic,Roues motrices avant,Automatique,Essence,265 000
Ml63 amg 2009,24900.00,2009,Mercedes-Benz,M-Class,4 roues motrices (4x4),Automatique,Essence,130 000
Honda Civic 2010 LX-S sport with sunroof+mags,4600.00,2010,Honda,Civic,Roues motrices avant,Automatique,Essence,205 000
"FORD F150 CREW-CAB 2004, AUTOMATIQUE AUBAINE!",3495.00,2004,Ford,F150 SuperCrew,Roues motrices arrière,Automatique,Essence,220 000
Jetta wagon,1000.00,2004,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,189 000
camion F-150  4X4,4500.00,2000,Ford,F-150,4 x 4,Automatique,Essence,78 046
Excellent condition B250,11999.00,2014,Mercedes-Benz,B-Class,Roues motrices avant,Automatique,Essence,80 000
Cadillac cts 2006,7500.00,2006,Cadillac,CTS,Roues motrices arrière,Automatique,Essence,165 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
Corolla LE 2014,12450.00,2014,Toyota,Corolla,Roues motrices avant,Automatique,Essence,112 000
2010 Ford Focus Ses Coupé,4300.00,2010,Ford,Focus,Roues motrices avant,Automatique,Essence,130 000
Lapping/Track Day EK Civic Hatch,6500.00,2000,Honda,Civic,Roues motrices avant,Manuelle,Essence,180 000
Sprinter Mercedes-Benz 2013,24900.00,2013,Mercedes-Benz,Sprinter Van,Autre,Automatique,Diesel,147 237
HYUNDAI SONATA 2010 LIMITED EDITION,6995.00,2010,Hyundai,Sonata,Roues motrices avant,Automatique,Essence,107 000
Hyundai Genesis 2013 2L TURBO Full Equip. Encore sous Garantie!!,17499.00,2013,Hyundai,Genesis Coupe,Roues motrices arrière,Manuelle,Essence,48 019
2007 BMW 328Xi AWD IMMACULATE OVERALL CONDITION FOR SALE,7800.00,2007,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,165 000
2005 Mercedes-Benz C-Class cuir Berline,7800.00,2005,Mercedes-Benz,C-Class,Roues motrices avant,Automatique,Essence,220 000
2008 Pontiac Torrent VUS,3995.00,2008,Pontiac,Torrent,4 roues motrices (4x4),Automatique,Essence,204 000
2001 Audi TT TT Quattro Turbo 225hp Cabriolet,10500.00,2001,Audi,TT,4 x 4,Manuelle,Essence,180 500
2009 BMW 3-Series full Berline,1.00,2009,BMW,3-Series,Roues motrices arrière,Automatique,Essence,125 000
2002 Pontiac Bonneville SSEi,1000.00,2002,Pontiac,Bonneville,Roues motrices avant,Automatique,Essence,257 000
2009 BMW Autre 328I Berline,1.00,2009,BMW,3-Series,Roues motrices arrière,Automatique,Essence,125 000
Honda civic 2007 Ex,5000.00,2007,Honda,Civic,Roues motrices avant,Manuelle,Essence,156 000
Lexus IS-350 F Sport Série 2 2015 AWD,30750.00,2015,Lexus,IS,4 roues motrices (4x4),Automatique,Essence,85 000
Silverado 1500 2001,2500.00,2001,Chevrolet,Silverado 1500,4 x 4,Automatique,Essence,308 000
Kia optima sx 2012,10300.00,2012,Kia,Optima,Roues motrices avant,Automatique,Essence,87 000
"2006 Ford F-150 SuperCrew XLT + 4 PORTES + 4X4 - 160,000km! NEGO",4999.99,2006,Ford,F-150,4 x 4,Automatique,Essence,160 000
Smart Fortwo 2013,5095.00,2013,Smart,Fortwo,Autre,Automatique,Essence,66 000
acrua rsx,2650.00,2003,Acura,RSX,Roues motrices avant,Automatique,Essence,140 000
2009 Mazda 5. En très bon état,6000.00,2009,Mazda,Mazda5,Roues motrices avant,Automatique,Essence,134 000
"MAZDA 5 2007, SEULEMENT 151 300 km",2600.00,2007,Mazda,Mazda5,Roues motrices avant,Manuelle,Essence,151 351
Hyundai Genesis 2013 2L TURBO Full Equip. Encore sous Garantie!!,17499.00,2013,Hyundai,Genesis Coupe,Roues motrices arrière,Manuelle,Essence,48 019
Ford Focus SE 2012,6950.00,2012,Ford,Focus,Roues motrices avant,Manuelle,Essence,77 500
Toyota Corolla CE 2007,4500.00,2007,Toyota,Corolla,Roues motrices avant,Manuelle,Essence,124 000
G.M.C 3500 HD hors terrain 2016 Duramax,68000.00,2016,GMC,C/K 3500,4 roues motrices (4x4),Automatique,Diesel,57 000
Chevrolet Equinox LTZ - Great Condition - Negotiable Price,15000.00,2011,Chevrolet,Equinox,4 roues motrices (4x4),Automatique,Essence,95 000
"Subaru Impreza 2,5L",3500.00,2010,Subaru,Impreza,4 roues motrices (4x4),Manuelle,Essence,228 000
BMW 335i xDrive 2009,8995.00,2009,BMW,Autre,4 roues motrices (4x4),Manuelle,Essence,159 000
mazda mazda3,3500.00,2008,Mazda,Mazda3,Roues motrices avant,Automatique,Essence,186 000
Ford Taurus X Limited AWD (Freestyle) 6 passagers,2750.00,2008,Ford,FreeStyle/Taurus X,4 roues motrices (4x4),Automatique,Essence,215 000
Volkswagen Jetta GLS 2005,3700.00,2005,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,184 000
"Volkswagen jetta Trendline +2016 automatique,mags, pas de taxe.",15190.00,2016,Volkswagen,Autre,Autre,Automatique,Essence,46 000
2012 Volkswagen Golf Hatchback,7500.00,2012,Volkswagen,Golf,Roues motrices avant,Automatique,Essence,178 639
Ford focus 2007 SES 135000 Km,2200.00,2007,Ford,Focus,Roues motrices avant,Manuelle,Essence,135 000
"Ford Ranger MANUEL 3.0L rare, propre, bonne condition !",4995.00,2004,Ford,Ranger,Roues motrices arrière,Manuelle,Essence,206 000
2011 Audi Q5 2.0 L Premium plus S-line VUS,14800.00,2011,Audi,Q5,Autre,Automatique,Essence,170 000
**DODGE JOURNEY SE 2010**7PASSAGERS**AUTO**A.C**P.D'HIVER**6995$,6995.00,2010,Dodge,Journey,Roues motrices arrière,Automatique,Essence,136 000
2006 Audi A4 Berline,5500.00,2006,Audi,A4,4 roues motrices (4x4),Automatique,Essence,183 608
*CHRYSLER 300 LIMITED 2010**FULL**TOIT**BLUETOOTH**6795$*,6795.00,2010,Chrysler,300-Series,Roues motrices avant,Automatique,Essence,173 000
FORD ESCAPE XLT 4X4 (DÉMAREUR A DISTANCE+8 PNEUS PRIX NÉGOCIABLE,3500.00,2006,Ford,Escape,4 roues motrices (4x4),Automatique,Essence,180 000
Ford Escape XLT V6 FWD 2007,2000.00,2007,Ford,Escape,Roues motrices avant,Automatique,Essence,254 276
"Subaru Impreza 2008 2,5 i Sport",6350.00,2008,Subaru,Impreza,4 x 4,Manuelle,Essence,147 575
"Mazda 3 Hatchback charcoal 2008, 115 000km, automatique",2200.00,2008,Mazda,Mazda3,Roues motrices avant,Automatique,Essence,115 000
nissan 350 z  2006 a vendre,12500.00,2006,Nissan,350Z,Roues motrices arrière,Manuelle,Essence,125 000
Dodge Caravan 2012,10750.00,2012,Dodge,Caravan,Roues motrices avant,Automatique,Essence,105 000
"TOYOTA COROLLA CE 2004 AUTOMATIQUE, BAS KILOMÉTRAGE 95400 KMS.",3500.00,2004,Toyota,Corolla,Roues motrices avant,Automatique,Essence,95 400
Honda Civic si,7000.00,2011,Honda,Civic,Roues motrices avant,Manuelle,Essence,230 000
2004 Chrysler Sebring convertible Cabriolet,3250.00,2004,Chrysler,Sebring,Roues motrices avant,Automatique,Essence,157 000
BMW Z4 noire 69 000 km Parfaite condition à voir!,17500.00,2004,BMW,Z4,Roues motrices arrière,Automatique,Essence,69 000
Hyundai Tucson 2005  171.000 kms,2900.00,2005,Hyundai,Tucson,4 x 4,Automatique,Essence,171 000
CHRYSLER 300 LIMITED 2010**FULL**TOIT**CUIR**BLUETOOTH**6795$,6795.00,2010,Chrysler,300-Series,Roues motrices avant,Automatique,Essence,173 000
Scion FR-S 2013 (beaucoup d'inclusions),13900.00,2013,Scion,FR-S,Roues motrices arrière,Manuelle,Essence,127 000
**NISSAN ALTIMA 2.5 SL 2005**FULL*TOIT*CUIR*AC*CRUISE**125.000KM,4995.00,2005,Nissan,Altima,Roues motrices avant,Automatique,Essence,125 000
BMW 2003 320i Noir manuelle - 1600$ Negociable,1600.00,2003,BMW,3-Series,Roues motrices arrière,Manuelle,Essence,225 000
**NISSAN ALTIMA 2008 3.5**GR.ELEC**AIR CLIM**MECANIQUE A1**3495$,3495.00,2008,Nissan,Altima,Roues motrices avant,Automatique,Essence,223 000
auto smart,5800.00,2013,Mercedes-Benz,Autre,Roues motrices arrière,Automatique,Essence,51 000
Toyota Echo 2002   2 portes   manuelle,1250.00,2002,Toyota,Echo,Roues motrices avant,Manuelle,Essence,233 433
camion F-150  4X4,4500.00,2000,Ford,F-150,4 x 4,Automatique,Essence,78 046
Honda Fit 2013 - comme neuve,12000.00,2013,Honda,Fit,Roues motrices avant,Automatique,Essence,60 000
SATURN VUE 2006,2750.00,2006,Saturn,VUE,Autre,Manuelle,Essence,169 000
"2013 Ford Edge SUV, Crossover",17000.00,2013,Ford,Edge,4 roues motrices (4x4),Automatique,Essence,80 000
Subaru Outback 2013 2.5i Co avec garantie prolongée (07-2020),15500.00,2013,Subaru,Outback,4 roues motrices (4x4),Automatique,Essence,113 000
2004 Toyota 4Runner VUS,5900.00,2004,Toyota,4Runner,4 roues motrices (4x4),Automatique,Essence,194 000
Honda Ridgeline EX-L,19500.00,2011,Honda,Ridgeline,4 roues motrices (4x4),Automatique,Essence,212 000
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
Dodge Grand Caravan Stow'n'go 2008! Pour vente rapide! Négo!,3050.00,2008,Dodge,Grand Caravan,Roues motrices avant,Automatique,Essence,231 000
Honda Civic Lx 2009,3600.00,2009,Honda,Civic,Autre,Manuelle,Essence,175 000
Jeep Patriot 2009 North Edition,1000.00,2009,Jeep,Patriot,4 roues motrices (4x4),Manuelle,Essence,200 000
Ford Focus ZX4 2006,1500.00,2006,Ford,Focus,Autre,Manuelle,Essence,130 750
2010 Mazda Mazda3 Sport GT Berline Manuelle 2.5L,4995.00,2010,Mazda,Mazda3,Roues motrices avant,Manuelle,Essence,180 000
2007 Volkswagen Jetta 2.0 Litres Turbo,3500.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,232 945
BMW 335i Xdrive (300HP - V6 3.0L),23250.00,2013,BMW,Autre,4 roues motrices (4x4),Automatique,Essence,93 700
Mazda3 Sport / Incitatif 1500$ / Transfert de location,261.84,2017,Mazda,Mazda3 Sport,Roues motrices avant,Automatique,Essence,19 000
BMW 435I Xdrive COUPE - 6MT Manuelle - COMME NEUVE! Bas mileage!,39900.00,2014,BMW,4-Series,4 roues motrices (4x4),Manuelle,Essence,16 000
CIVIC SI-G AUTOMATIQUE 2003,1990.00,2003,Honda,Civic,Roues motrices avant,Automatique,Essence,310 000
Dodge ram 1500 slt 2007,5500.00,2007,Dodge,Power Ram 1500,4 x 4,Automatique,Essence,164 000
CHEVROLET CAMARO 2011 IMPÉCABLE!,16000.00,2011,Chevrolet,Camaro,Roues motrices arrière,Manuelle,Essence,44 600
Smart Fortwo 2013,5095.00,2013,Smart,Fortwo,Autre,Automatique,Essence,66 000
"Subaru Forester 2006 manuel À vendre, NEGOCIABLE",1000.00,2006,Subaru,Forester,4 roues motrices (4x4),Manuelle,Essence,261 000
"Honda Civic Lx! A/C, Bluetooth, sièges chauffants et plus",11499.00,2013,Honda,Civic,Roues motrices avant,Automatique,Essence,74 000
mazda b4000 4x4,750.00,2000,Mazda,B-Series Pickups,4 roues motrices (4x4),Manuelle,Essence,180 000
BMW Z4 2003 2.5l for sale,14900.00,2003,BMW,Z4,Roues motrices arrière,Manuelle,Essence,62 500
2011  Malibu LS  205500 km $3999,3999.00,2011,Chevrolet,Malibu,Roues motrices avant,Automatique,Essence,205 500
2008 Audi TT AWD,9000.00,2008,Audi,TT,4 roues motrices (4x4),Automatique,Essence,245 000
2011 BMW M3 COUPE DCT / IDRIVE / CARBON ROOF,36999.00,2011,BMW,M3,Roues motrices arrière,Autre,Essence,79 455
Nissan Altima 2003 2.5 L,800.00,2003,Nissan,Altima,Autre,Automatique,Essence,255 626
"2013 Infiniti JX Premium Tech PKG SUV, Crossover",16995.00,2013,Infiniti,JX,4 roues motrices (4x4),Automatique,Essence,166 000
"Honda Del Sol, 165 000 km, automatique à vendre.",7500.00,1993,Honda,Del Sol,Roues motrices avant,Automatique,Essence,165 000
Chrysler 300 2005,5999.00,2005,Chrysler,300-Series,Roues motrices arrière,Automatique,Essence,177 000
Auto et camion,8500.00,2004,Ford,F-550,Roues motrices arrière,Automatique,Diesel,208 000
2012 Kia Forte Koup Coupé (2 portes) 140 000km,6200.00,2012,Kia,Forte,Roues motrices avant,Manuelle,Essence,140 000
SMART FOR TWO 2012,6600.00,2012,Smart,Fortwo,Roues motrices arrière,Automatique,Essence,39 857
2017 GMC Sierra (Classic) 1500 Crew Cab,530.00,2017,GMC,Sierra 1500,4 x 4,Automatique,Essence,15 000
Mazda tribute 2005 2600$ nego,2600.00,2005,Mazda,Tribute,4 x 4,Automatique,Essence,198 893
2001 Hyundai Santa Fe VUS nego,3500.00,2001,Hyundai,Santa Fe,Autre,Automatique,Essence,173 000
2015 Toyota Yaris 2015+HB+A/C+GPS+CAMERA DE RECUL+DVD+BLUETOOTH,12900.00,2015,Toyota,Yaris,Roues motrices avant,Automatique,Essence,43 000
2004 Nissan Quest full équipée Familiale,1200.00,2004,Nissan,Quest,Roues motrices avant,Automatique,Essence,193 000
Toyota Corolla 2002,500.00,2002,Toyota,Corolla,Autre,Automatique,Essence,296 653
Chevrolet Equinox LTZ - Great Condition - Negotiable Price,15000.00,2011,Chevrolet,Equinox,4 roues motrices (4x4),Automatique,Essence,95 000
"MAZDA 6 - 2006 Mécanique A1, Vente Rapide",2000.00,2006,Mazda,Mazda6,Autre,Automatique,Essence,185 000
TOYOTA COROLLA 2004,3000.00,2004,Toyota,Corolla,Roues motrices avant,Automatique,Essence,280 000
2007 Mazda Mazda3 1 ans garantie Sedan,1850.00,2007,Mazda,Mazda3,Roues motrices avant,Manuelle,Essence,214 000
Mercedes C350,12950.00,2011,Mercedes-Benz,C-Class,4 roues motrices (4x4),Automatique,Essence,140 000
2011 PORSCHE CAYENNE TURBO/PARE-BRISE CHAUFFANT/CRUISE ADAPT/CUI,34995.00,2011,Porsche,Cayenne,Autre,Automatique,Essence,157 000
Mazda 3 2006,1999.99,2006,Mazda,Mazda3,Roues motrices avant,Automatique,Essence,261 000
Mercedes Benz GLK 350 2012 **** une seul taxe ****,19000.00,2012,Mercedes-Benz,GLK-Class,Autre,Automatique,Essence,136 000
Mitsubishi Lancer GTS reconstruit,4999.00,2008,Mitsubishi,Lancer,Roues motrices avant,Manuelle,Essence,156 000
2007 Volkswagen Jetta 2.0 Litres Turbo,3500.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,232 945
Mercedez SLK 2001 décapotable.,14900.00,2001,Mercedes-Benz,SLK-Class,Roues motrices arrière,Automatique,Essence,77 000
2006 Jeep Commander 4x4,3300.00,2006,Jeep,Commander,4 roues motrices (4x4),Automatique,Essence,276 000
2006 Suzuki Grand Vitara VUS,4500.00,2006,Suzuki,Grand Vitara,4 x 4,Automatique,Essence,163 000
BMW 325XI (4 roues motrices) V6 2001 Manuelle Noire,4400.00,2001,BMW,3-Series,4 roues motrices (4x4),Manuelle,Essence,152 000
Audi A4 avant 2011,11000.00,2011,Audi,A4,4 roues motrices (4x4),Automatique,Essence,212 000
TOYOTA ECHO BERLINE 2005,5200.00,2005,Toyota,Echo,Roues motrices avant,Manuelle,Essence,123 800
"TRANSFERT DE BAIL Audi Q5, 2017 (557,22$+taxes)",557.00,2017,Audi,Q5,4 roues motrices (4x4),Automatique,Essence,45 000
GLI mk5 update,3600.00,2008,Volkswagen,GLI,Roues motrices avant,Manuelle,Essence,177 500
A QUI LA CHANCE PRIX RÉVISÉ - Honda Accord EX Coupé 2008,7600.00,2008,Honda,Autre,Autre,Automatique,Essence,132 000
Ford F-150 Lariat 2007,9995.00,2007,Ford,F-150,4 x 4,Automatique,Essence,259 222
Tesla modèle Signature S85,62500.00,2012,Tesla,Model S,Roues motrices arrière,Autre,Autre,54 861
Hyundai Accent 2007 à vendre,1200.00,2007,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,199 000
Toyota ECHO 2002 - Automatique,1750.00,2002,Toyota,Echo,Roues motrices avant,Automatique,Essence,197 000
Mercedes Benz GLK 350 2012 **** une seul taxe ****,19000.00,2012,Mercedes-Benz,GLK-Class,Autre,Automatique,Essence,136 000
2014 BMW X5 / Low Mileage / Fully Loaded / BEST DEAL in Canada!,41900.00,2014,BMW,X5,4 roues motrices (4x4),Automatique,Essence,39 800
1992 Mercedes Benz 500 SEL,10000.00,1992,Mercedes-Benz,500-Series,Roues motrices arrière,Automatique,Essence,106 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
"Pontiac Montana SV6 2006 124,000km V6 3,5 7passager",3450.00,2006,Pontiac,Montana,Roues motrices avant,Automatique,Essence,124 000
CAMION F-150 XLT 2016 TOUT ÉQUIPÉ,38500.00,2016,Ford,F-150,Autre,Automatique,Essence,37 000
Land Rover Freelander 2002,2000.00,2002,Land Rover,Freelander,4 x 4,Automatique,Essence,200 000
HONDA CR-V SE  2016,26500.00,2016,Honda,CR-V,4 x 4,Automatique,Essence,20 500
Ford Mustang convertible,13500.00,2006,Ford,Mustang,Roues motrices arrière,Manuelle,Essence,117 000
Ford Escape 2014,16500.00,2014,Ford,Escape,Roues motrices avant,Automatique,Essence,92 000
Auto  Antique,12500.00,1988,Autre,Autre,Roues motrices arrière,Automatique,Essence,60 000
Kia forte koup,3499.00,2010,Kia,Forte,Roues motrices avant,Manuelle,Essence,151 900
2500$,2500.00,2000,Toyota,Celica,Roues motrices avant,Automatique,Essence,200 000
"Volkswagen jetta Trendline +2016 automatique,mags, pas de taxe.",15190.00,2016,Volkswagen,Autre,Autre,Automatique,Essence,46 000
Jeep Wrangler,16000.00,2011,Jeep,Wrangler,4 x 4,Manuelle,Essence,150 000
Honda Civic 2013,9000.00,2013,Honda,Civic,Roues motrices avant,Manuelle,Essence,84 000
Toyota corolla s 2005 manuel,4250.00,2005,Toyota,Corolla,Roues motrices avant,Manuelle,Essence,183 500
Ford Crown Victoria,4500.00,2009,Ford,Crown Victoria,Roues motrices arrière,Automatique,Essence,160 000
Toyota Echo 2005 // Très propre // Fiable.,2000.00,2005,Toyota,Echo,Roues motrices avant,Manuelle,Essence,204 000
2007 Ford Focus Berline,3900.00,2007,Ford,Focus,Roues motrices arrière,Automatique,Essence,25 000
econoline 250,1500.00,2001,Ford,E250,Roues motrices arrière,Automatique,Essence,266 000
Mercedes C240 2003 automatique très propre pas chère,3500.00,2003,Mercedes-Benz,C-Class,4 roues motrices (4x4),Automatique,Essence,200 000
Saab 93 2006,700.00,2006,Saab,9-3,Autre,Autre,Essence,259 748
Infiniti m35x 2006  4200$,4200.00,2006,Infiniti,M35,Roues motrices avant,Automatique,Essence,160 000
Dodge Avenger 2013,6500.00,2013,Dodge,Avenger,Autre,Automatique,Essence,116 000
Audi A4 2005,3995.00,2005,Audi,A4,4 roues motrices (4x4),Automatique,Essence,77 000
Ford Taurus X Limited AWD (Freestyle) 6 passagers,2750.00,2008,Ford,FreeStyle/Taurus X,4 roues motrices (4x4),Automatique,Essence,215 000
KIA SOUL 2011,4999.00,2011,Kia,Soul,Roues motrices avant,Manuelle,Essence,152 278
Honda accord exl 2013 v6 manuelle gps cuir toit,16000.00,2013,Honda,Accord,Roues motrices avant,Manuelle,Essence,103 500
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
Dodge caliber srt4,7000.00,2008,Dodge,Caliber,Roues motrices avant,Manuelle,Essence,114 000
Mazda 3 GT 2010 2.5L manuelle 6 vitesse toit ouvrant 8 pneu,4495.00,2010,Mazda,Mazda3,Roues motrices avant,Manuelle,Essence,199 000
"2006 Chevrolet Uplander LS Minivan, Van",1499.00,2006,Chevrolet,Uplander,Roues motrices avant,Automatique,Essence,232 500
Ford Focus ST 2016 noir,25000.00,2016,Ford,Focus,Roues motrices avant,Manuelle,Essence,14 000
MOTORISÉ 2004 DAYBREAK par DAMON en exellent état + VÉHICULE,35.00,2004,Autre,Autre,Roues motrices arrière,Automatique,Essence,123 800
Kia Rio LX GARANTIE 2 ANS,11000.00,2015,Kia,Rio,Autre,Manuelle,Essence,26 000
2001 Toyota Celica GT,2900.00,2001,Toyota,Celica,Roues motrices avant,Automatique,Essence,192 500
"2007 Chevrolet Uplander Fourgonnette, fourgon",1500.00,2007,Chevrolet,Uplander,Roues motrices avant,Automatique,Essence,175 000
Hyundai Tucson 2011 AWD (98000 Km),11000.00,2011,Hyundai,Tucson,4 x 4,Automatique,Essence,98 000
BMW 435I Xdrive COUPE - 6MT Manuelle - COMME NEUVE! Bas mileage!,39900.00,2014,BMW,4-Series,4 roues motrices (4x4),Manuelle,Essence,16 000
Luxueuse BMW 328i 2009 automatique coupé 2 portes 118 000km,9395.00,2009,BMW,3-Series,Autre,Automatique,Essence,118 000
Dodge Ram 1500 SLT 2016 EcoDiesel garanti jusqu en 2020/100000km,30995.00,2016,Dodge,Power Ram 1500,4 x 4,Automatique,Diesel,71 600
Jeep Compass 2008,3000.00,2008,Jeep,Compass,Autre,Autre,Essence,180 000
Ford Focus ST 2016 à vendre,23999.00,2016,Ford,Focus,Roues motrices arrière,Manuelle,Essence,28 000
Toyota Yaris 2009 153000 km,6000.00,2009,Toyota,Yaris,Roues motrices avant,Manuelle,Essence,153 218
"Mitsubishi Lancer DE 2009 110,000 km doit partir à la fin Aout",5299.00,2009,Mitsubishi,Lancer,Roues motrices avant,Automatique,Essence,110 000
Honda civic 2002 à vendre 1000$,1000.00,2002,Honda,Civic,Roues motrices avant,Automatique,Essence,230 000
2006 HONDA CRV EXL,4500.00,2006,Honda,CR-V,4 x 4,Automatique,Essence,150 000
Ford explorer  Eddie Bauer,13000.00,2010,Ford,Explorer,4 roues motrices (4x4),Automatique,Essence,164 000
"Honda Del Sol, 165 000 km, automatique à vendre.",7500.00,1993,Honda,Del Sol,Roues motrices avant,Automatique,Essence,165 000
"2008 Mercedes-Benz R-Class 3.0L CDI SUV, Crossover",13500.00,2008,Mercedes-Benz,R-Class,4 roues motrices (4x4),Automatique,Diesel,110 542
"2006 Ford F-150 SuperCrew XLT + 4 PORTES + 4X4 - 160,000km! NEGO",4999.99,2006,Ford,F-150,4 x 4,Automatique,Essence,160 000
I'm Selling My 2007 Nissan Sentra - Cheap Price!,1300.00,2007,Nissan,Sentra,Roues motrices avant,Automatique,Essence,155 130
Jeep Liberty 2005 très bonne voiture a besoin d'un peu d'amour,1650.00,2005,Jeep,Liberty,4 roues motrices (4x4),Automatique,Essence,193 000
Honda CR-V 2004,1150.00,2004,Honda,CR-V,4 roues motrices (4x4),Automatique,Essence,450 000
Mini Cooper convertible,6800.00,2005,MINI,Classic Mini,Roues motrices avant,Manuelle,Essence,139 000
1969 VW Dune Buggy,6800.00,1969,Volkswagen,Beetle,Roues motrices arrière,Manuelle,Essence,10 000
Toyota Yaris 2010 excellente condition mécanique,5500.00,2010,Toyota,Yaris,Roues motrices avant,Manuelle,Essence,125 000
2000 Volkswagen GTI GLS Coupé Manuel 2000$ Négo ou échange,2000.00,2000,Volkswagen,GTI,Roues motrices avant,Manuelle,Essence,315 000
Miata 2001,4500.00,2001,Mazda,MX-5 Miata,Roues motrices arrière,Manuelle,Essence,174 500
"2012 Subaru Impreza 2,0i  limited Berline - dernière chance",10900.00,2012,Subaru,Impreza,Autre,Manuelle,Essence,107 800
Dodge. Grand. Caravane,3500.00,2007,Dodge,Grand Caravan,Autre,Automatique,Essence,285 000
Cavalier RS 1992 Très bonne condition 108 435 km,1700.00,1992,Chevrolet,Cavalier,Autre,Autre,Essence,108 435
Bmw x5 2008,9850.00,2008,BMW,X5,4 x 4,Automatique,Essence,166
Jeep,1000.00,2001,Jeep,Grand Cherokee,4 roues motrices (4x4),Automatique,Essence,285 000
2007 Volkswagen Jetta 2.0 Litres Turbo,3500.00,2007,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,232 945
Mazda 3 manuelle 2007 - 150 000Kms,1600.00,2007,Mazda,Mazda3,Autre,Autre,Essence,151 000
Civic 2007,3700.00,2007,Honda,Civic,Roues motrices avant,Automatique,Essence,164 987
Car Rental / starting at 550$ per month / 514.700.3737,550.00,2008,Toyota,Corolla,Roues motrices avant,Automatique,Essence,150 000
"Hyundai Accent Sport, doit partir!!",3500.00,2011,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,116 000
Nissan Sentra 2005,900.00,2005,Nissan,Sentra,Roues motrices avant,Automatique,Essence,140 000
Honda crv 2003,3500.00,2003,Honda,CR-V,4 roues motrices (4x4),Manuelle,Essence,230 000
"Subaru Outback 2014 - Aubaine, vendue par le seul propriétaire",15295.00,2014,Subaru,Outback,4 roues motrices (4x4),Automatique,Essence,103 200
Jeep liberty,3500.00,2002,Jeep,Liberty,4 x 4,Automatique,Essence,203 000
Honda Fit 2010,7500.00,2010,Honda,Fit,Autre,Manuelle,Essence,84 000
Acura TL 2009,7999.99,2009,Acura,TL,Roues motrices avant,Automatique,Essence,199 000
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
MAZDA 6 SPORT WAGON,4995.00,2006,Mazda,Mazda6,Roues motrices avant,Automatique,Essence,79 990
2005 Saab 9-2X Aero (Impreza WRX),4950.00,2005,Saab,9-2X,4 roues motrices (4x4),Manuelle,Essence,229 000
toyota corolla 1999 automatique,750.00,1999,Toyota,Corolla,Roues motrices avant,Automatique,Essence,265 000
"Buick Rendezvous 2006 automatique, 186000KM, $2200",2300.00,2006,Buick,Rendezvous,Roues motrices avant,Automatique,Essence,120 000
2008 Infinity. G-37 S   2 portes. Automatique. V6  3.7 litres.,10900.00,2008,Infiniti,G37,Roues motrices arrière,Automatique,Essence,125 000
Une amour de voiture,158.00,2016,Kia,Forte,Roues motrices avant,Automatique,Essence,46 000
